"Date","Time","Open","High","Low","Close","Vol","OI","UpperBand","LowerBand","MidLine"
03/16/2016,11:00,218.00,222.58,217.02,221.93,3516703,0,0.00,0.00,0.00
03/17/2016,11:00,221.47,228.50,220.00,226.38,3782891,0,0.00,0.00,0.00
03/18/2016,11:00,229.10,234.48,228.06,232.74,4711793,0,0.00,0.00,0.00
03/21/2016,11:00,235.34,239.88,235.00,238.32,5307822,0,0.00,0.00,0.00
03/22/2016,11:00,237.48,238.99,232.56,234.24,4315988,0,0.00,0.00,0.00
03/23/2016,11:00,232.37,234.73,222.03,222.58,4948841,0,0.00,0.00,0.00
03/24/2016,11:00,215.78,228.89,215.00,227.75,4960900,0,0.00,0.00,0.00
03/28/2016,11:00,231.61,234.81,225.00,230.26,3925685,0,0.00,0.00,0.00
03/29/2016,11:00,229.89,232.38,225.33,230.13,4014330,0,0.00,0.00,0.00
03/30/2016,11:00,235.09,235.50,226.50,226.89,4032982,0,0.00,0.00,0.00
03/31/2016,11:00,229.34,237.42,225.01,229.77,8012872,0,0.00,0.00,0.00
04/01/2016,11:00,244.83,247.90,233.25,237.59,15997509,0,0.00,0.00,0.00
04/04/2016,11:00,249.12,252.12,243.64,246.99,13475327,0,0.00,0.00,0.00
04/05/2016,11:00,240.50,256.56,240.00,255.47,9948699,0,0.00,0.00,0.00
04/06/2016,11:00,253.97,267.74,253.45,265.42,11705479,0,0.00,0.00,0.00
04/07/2016,11:00,266.45,269.34,254.51,257.20,8856171,0,0.00,0.00,0.00
04/08/2016,11:00,260.50,260.82,248.02,250.07,7363935,0,0.00,0.00,0.00
04/11/2016,11:00,251.00,258.99,245.30,249.92,9161693,0,0.00,0.00,0.00
04/12/2016,11:00,249.50,251.80,243.63,247.82,5763208,0,0.00,0.00,0.00
04/13/2016,11:00,248.51,255.50,247.33,254.53,4925595,0,0.00,0.00,0.00
04/14/2016,11:00,253.00,256.84,251.05,251.86,4132185,0,265.42,216.17,240.80
04/15/2016,11:00,251.31,254.60,249.12,254.51,3752366,0,266.59,217.82,242.20
04/18/2016,11:00,252.23,258.31,251.66,253.88,4271362,0,267.75,218.77,243.26
04/19/2016,11:00,253.12,254.37,241.25,247.37,6357526,0,268.15,219.27,243.71
04/20/2016,11:00,246.26,253.66,241.50,249.97,5194051,0,268.68,220.32,244.50
04/21/2016,11:00,248.99,250.90,246.91,248.29,2783059,0,267.80,223.77,245.78
04/22/2016,11:00,248.89,254.00,245.71,253.75,3786327,0,267.72,226.45,247.08
04/25/2016,11:00,253.01,257.38,250.76,251.82,3670348,0,267.37,228.96,248.16
04/26/2016,11:00,252.05,255.73,249.39,253.74,3223839,0,266.79,231.89,249.34
04/27/2016,11:00,252.75,255.00,249.40,251.47,3205808,0,264.66,236.48,250.57
04/28/2016,11:00,249.85,253.43,247.44,247.71,2518990,0,261.98,240.96,251.47
04/29/2016,11:00,248.14,248.43,237.81,240.76,5413787,0,261.36,241.89,251.63
05/02/2016,11:00,241.50,243.19,234.82,241.80,3843935,0,261.83,240.90,251.37
05/03/2016,11:00,237.36,238.91,231.62,232.32,4302222,0,263.38,237.04,250.21
05/04/2016,11:00,230.48,234.46,220.40,222.56,8700459,0,264.24,231.89,248.07
05/05/2016,11:00,228.20,228.64,209.79,211.53,11254827,0,267.94,223.62,245.78
05/06/2016,11:00,210.87,216.37,208.11,214.93,5685237,0,269.82,218.23,244.03
05/09/2016,11:00,215.72,216.15,206.80,208.92,4776383,0,271.78,212.17,241.98
05/10/2016,11:00,207.55,209.47,205.00,208.69,4070617,0,273.00,207.04,240.02
05/11/2016,11:00,207.59,215.48,206.05,208.96,5161864,0,272.64,202.85,237.74
05/12/2016,11:00,211.44,211.67,203.66,207.28,3650475,0,272.17,198.86,235.51
05/13/2016,11:00,207.78,211.20,206.70,207.61,2822781,0,270.65,195.68,233.17
05/16/2016,11:00,208.15,213.15,207.92,208.29,2949396,0,268.60,193.17,230.89
05/17/2016,11:00,209.05,209.82,204.02,204.66,2843597,0,267.32,190.19,228.75
05/18/2016,11:00,209.15,215.31,207.75,211.17,5617519,0,264.81,188.81,226.81
05/19/2016,11:00,213.62,216.79,207.30,215.21,6866321,0,262.14,188.17,225.16
05/20/2016,11:00,216.99,220.55,216.35,220.28,9007076,0,258.10,188.88,223.49
05/23/2016,11:00,219.87,222.60,215.86,216.22,5102479,0,253.88,189.53,221.71
05/24/2016,11:00,216.60,218.74,215.18,217.91,3013843,0,248.55,191.28,219.91
05/25/2016,11:00,217.91,221.36,216.51,219.58,3132615,0,243.03,193.61,218.32
05/26/2016,11:00,220.50,225.26,219.05,225.12,4072424,0,238.22,196.16,217.19
05/27/2016,11:00,224.99,225.93,220.75,223.04,3650272,0,234.60,198.01,216.30
05/31/2016,11:00,223.04,224.75,221.50,223.23,2789002,0,229.90,200.86,215.38
06/01/2016,11:00,221.48,222.40,216.89,219.56,2982695,0,227.20,202.28,214.74
06/02/2016,11:00,219.59,219.91,217.11,218.96,2032832,0,226.66,202.46,214.56
06/03/2016,11:00,220.00,221.94,218.01,218.99,2228970,0,227.10,202.76,214.93
06/06/2016,11:00,218.00,220.90,215.45,220.68,2249508,0,227.64,202.80,215.22
06/07/2016,11:00,222.24,234.44,221.52,232.34,6213573,0,230.51,202.26,216.39
06/08/2016,11:00,233.80,240.85,232.61,235.52,5971995,0,233.66,201.80,217.73
06/09/2016,11:00,234.69,235.33,227.06,229.36,4492075,0,234.91,202.59,218.75
06/10/2016,11:00,227.39,227.97,218.42,218.79,6026603,0,234.61,204.04,219.33
06/13/2016,11:00,219.50,225.77,217.66,217.87,4193022,0,234.17,205.51,219.84
06/14/2016,11:00,218.88,222.20,212.53,214.96,3580167,0,233.70,206.64,220.17
06/15/2016,11:00,216.95,221.90,215.13,217.70,2908522,0,232.42,209.23,220.82
06/16/2016,11:00,217.42,218.04,213.50,217.93,2440259,0,231.98,210.34,221.16
06/17/2016,11:00,217.81,219.99,214.50,215.47,3112620,0,231.97,210.38,221.18
06/20/2016,11:00,219.50,223.75,218.23,219.70,3555471,0,231.95,210.34,221.15
06/21/2016,11:00,220.68,222.57,218.81,219.61,4529005,0,231.91,210.72,221.32
06/22/2016,11:00,199.47,205.95,195.75,196.66,23742414,0,235.32,205.19,220.25
06/23/2016,11:00,195.69,197.55,192.13,196.40,10130748,0,237.41,200.78,219.09
06/24/2016,11:00,190.05,195.12,189.73,193.15,7026516,0,238.77,196.23,217.50
06/27/2016,11:00,190.86,198.81,187.87,198.55,7220323,0,238.90,193.64,216.27
06/28/2016,11:00,201.89,204.05,199.41,201.79,6212422,0,238.43,191.97,215.20
06/29/2016,11:00,205.13,211.78,203.00,210.19,5994908,0,237.97,191.49,214.73
06/30/2016,11:00,212.97,213.50,209.02,212.28,4843111,0,237.58,191.22,214.40
07/01/2016,11:00,206.14,218.24,206.00,216.50,5399951,0,237.38,191.17,214.27
07/05/2016,11:00,209.73,214.54,208.00,213.98,5175345,0,236.86,191.02,213.94
07/06/2016,11:00,210.00,215.23,209.00,214.44,4919855,0,234.36,191.73,213.04
07/07/2016,11:00,213.10,218.12,213.01,215.94,3612022,0,230.80,193.32,212.06
07/08/2016,11:00,217.80,219.81,214.50,216.78,4074785,0,228.59,194.28,211.43
07/11/2016,11:00,219.96,226.78,219.51,224.78,5429823,0,229.58,193.88,211.73
07/12/2016,11:00,224.10,227.50,223.22,224.65,4576165,0,230.62,193.53,212.07
07/13/2016,11:00,225.50,225.59,220.29,222.53,3567062,0,231.52,193.38,212.45
07/14/2016,11:00,223.12,224.94,221.05,221.53,2675834,0,231.99,193.29,212.64
07/15/2016,11:00,222.52,222.75,219.64,220.40,2234247,0,232.28,193.25,212.77
07/18/2016,11:00,219.64,227.09,218.30,226.25,3412055,0,233.67,192.94,213.31
07/19/2016,11:00,225.00,229.10,224.75,225.26,3115065,0,234.43,192.74,213.58
07/20/2016,11:00,226.47,229.80,225.00,228.36,2568498,0,235.71,192.33,214.02
07/21/2016,11:00,226.00,227.85,219.10,220.50,4428651,0,235.53,194.90,215.21
07/22/2016,11:00,221.99,224.50,218.88,222.27,2579692,0,235.09,197.93,216.51
07/25/2016,11:00,222.27,231.39,221.37,230.01,4490683,0,234.44,202.26,218.35
07/26/2016,11:00,227.69,230.00,225.30,229.51,3430042,0,233.89,205.90,219.90
07/27/2016,11:00,229.34,233.36,226.92,228.49,2889007,0,232.98,209.49,221.23
07/28/2016,11:00,227.95,230.76,226.60,230.61,2419059,0,233.52,210.98,222.25
07/29/2016,11:00,230.70,235.28,230.24,234.79,3070813,0,234.93,211.83,223.38
08/01/2016,11:00,235.50,236.63,229.38,230.01,4016284,0,235.50,212.61,224.05
08/02/2016,11:00,229.50,229.87,221.40,227.20,3934432,0,235.25,214.18,224.72
08/03/2016,11:00,227.20,229.70,224.21,225.79,3887759,0,234.70,215.86,225.28
08/04/2016,11:00,225.69,230.86,222.05,230.61,4146997,0,234.66,217.37,226.02
08/05/2016,11:00,230.00,232.00,227.40,230.03,3205215,0,234.37,218.99,226.68
08/08/2016,11:00,228.00,229.60,226.09,226.16,2263584,0,234.40,219.10,226.75
08/09/2016,11:00,226.82,231.54,226.65,229.08,2207833,0,234.62,219.32,226.97
08/10/2016,11:00,228.24,229.87,224.62,225.65,2338301,0,234.53,219.72,227.13
08/11/2016,11:00,226.17,227.57,223.41,224.91,1880936,0,234.33,220.26,227.29
08/12/2016,11:00,225.41,226.65,224.04,225.61,1813540,0,233.90,221.21,227.55
08/15/2016,11:00,226.02,229.50,224.93,225.59,2034328,0,233.90,221.15,227.52
08/16/2016,11:00,225.49,227.19,223.41,223.61,2267147,0,233.97,220.91,227.44
08/17/2016,11:00,224.33,224.83,222.80,223.24,1787127,0,233.95,220.42,227.18
08/18/2016,11:00,223.82,225.66,222.29,223.51,1714467,0,233.61,221.05,227.33
08/19/2016,11:00,223.54,225.17,222.53,225.00,1659530,0,233.41,221.53,227.47
08/22/2016,11:00,224.17,225.11,222.68,222.93,2065493,0,233.25,220.98,227.12
08/23/2016,11:00,224.32,228.49,222.80,224.84,4784418,0,232.99,220.77,226.88
08/24/2016,11:00,227.05,227.15,222.22,222.62,2570693,0,232.92,220.26,226.59
08/25/2016,11:00,223.11,223.80,220.77,220.96,1762519,0,232.61,219.61,226.11
08/26/2016,11:00,222.14,222.86,218.82,219.99,2238992,0,231.07,219.67,225.37
08/29/2016,11:00,220.15,220.40,215.00,215.20,3266334,0,231.46,217.80,224.63
08/30/2016,11:00,216.11,216.11,210.52,211.34,3168862,0,232.67,214.99,223.83
08/31/2016,11:00,210.43,212.60,208.65,212.01,3276548,0,233.31,212.98,223.14
09/01/2016,11:00,211.03,211.10,200.50,200.77,7943138,0,235.20,208.11,221.65
09/02/2016,11:00,202.75,203.20,196.20,197.78,5977413,0,236.56,203.52,220.04
09/06/2016,11:00,199.02,203.25,199.00,202.83,4390572,0,236.74,201.00,218.87
09/07/2016,11:00,205.50,206.50,200.71,201.71,3640923,0,236.21,198.80,217.51
09/08/2016,11:00,199.55,199.89,196.36,197.36,3377946,0,236.33,195.85,216.09
09/09/2016,11:00,199.09,199.92,193.70,194.47,3756992,0,236.44,192.69,214.57
09/12/2016,11:00,195.38,201.37,194.10,198.30,3715161,0,235.55,190.85,213.20
09/13/2016,11:00,198.15,198.49,193.45,196.05,3589379,0,234.51,188.94,211.73
09/14/2016,11:00,195.75,197.92,194.86,196.41,2259231,0,233.39,187.34,210.37
09/15/2016,11:00,196.49,202.52,196.40,200.42,3085115,0,231.85,186.60,209.23
09/16/2016,11:00,200.42,205.70,199.00,205.40,3107808,0,230.01,186.63,208.32
09/19/2016,11:00,207.00,209.43,205.00,206.34,2299498,0,227.69,187.08,207.39
09/20/2016,11:00,206.85,207.75,203.91,204.64,2410488,0,225.50,187.44,206.47
09/21/2016,11:00,206.37,207.00,201.56,205.22,2633503,0,222.55,188.43,205.49
09/22/2016,11:00,206.40,207.28,203.00,206.43,2382902,0,219.84,189.52,204.68
09/23/2016,11:00,205.99,210.18,205.67,207.45,2905229,0,217.30,190.72,204.01
09/26/2016,11:00,206.50,211.00,206.50,208.99,2394358,0,214.83,192.09,203.46
09/27/2016,11:00,209.65,209.98,204.61,205.81,3373180,0,213.08,192.89,202.99
09/28/2016,11:00,207.51,208.25,205.26,206.27,2088374,0,212.21,193.25,202.73
09/29/2016,11:00,205.60,207.33,200.58,200.70,2727029,0,210.66,193.67,202.17
09/30/2016,11:00,202.21,204.98,199.55,204.03,2586273,0,210.84,193.82,202.33
10/03/2016,11:00,210.98,215.67,208.25,213.70,5999892,0,212.70,193.56,203.13
10/04/2016,11:00,213.10,213.32,208.82,211.41,3541481,0,213.78,193.33,203.56
10/05/2016,11:00,212.24,213.15,208.12,208.46,1877534,0,214.30,193.49,203.89
10/06/2016,11:00,202.46,204.21,200.21,201.00,4703402,0,214.14,194.01,204.07
10/07/2016,11:00,201.00,201.32,195.80,196.61,3493018,0,213.87,194.49,204.18
10/10/2016,11:00,201.35,204.14,199.66,200.95,3316297,0,213.75,194.88,204.31
10/11/2016,11:00,201.85,202.20,198.31,200.10,2328422,0,213.39,195.65,204.52
10/12/2016,11:00,200.95,203.88,200.42,201.51,1970689,0,212.96,196.58,204.77
10/13/2016,11:00,200.50,200.90,197.05,200.24,2495413,0,212.97,196.55,204.76
10/14/2016,11:00,200.66,201.43,196.30,196.51,4269850,0,213.27,195.37,204.32
10/17/2016,11:00,197.67,198.39,192.00,193.96,4554080,0,213.66,193.74,203.70
10/18/2016,11:00,195.99,199.47,193.26,199.10,5680475,0,213.57,193.27,203.42
10/19/2016,11:00,199.11,206.66,198.06,203.56,6991183,0,213.46,193.22,203.34
10/20/2016,11:00,202.12,203.00,197.05,199.10,5072877,0,213.15,192.80,202.97
10/21/2016,11:00,198.60,201.57,197.41,200.09,2943402,0,212.64,192.57,202.60
10/24/2016,11:00,201.00,203.95,200.25,202.76,2751562,0,211.89,192.70,202.29
10/25/2016,11:00,202.90,204.69,201.20,202.34,2445014,0,211.58,192.66,202.12
10/26/2016,11:00,201.00,203.19,200.10,202.24,5632841,0,211.19,192.65,201.92
10/27/2016,11:00,211.34,213.70,201.65,204.01,13093744,0,211.38,192.79,202.08
10/28/2016,11:00,204.00,205.32,199.83,199.97,4280141,0,211.17,192.59,201.88
10/31/2016,11:00,202.29,202.49,195.81,197.73,4692273,0,208.78,193.38,201.08
11/01/2016,11:00,198.04,198.50,188.11,190.79,7060036,0,207.46,192.64,200.05
11/02/2016,11:00,189.60,192.70,187.51,188.02,4253382,0,207.12,190.94,199.03
11/03/2016,11:00,189.00,191.47,187.04,187.42,2653023,0,207.83,188.87,198.35
11/04/2016,11:00,188.00,193.46,185.96,190.56,5146043,0,208.10,188.00,198.05
11/07/2016,11:00,193.59,194.29,190.05,193.21,3870112,0,207.83,187.49,197.66
11/08/2016,11:00,193.79,197.49,191.26,194.94,3267580,0,207.57,187.23,197.40
11/09/2016,11:00,186.88,192.00,183.95,190.06,8173065,0,207.30,186.36,196.83
11/10/2016,11:00,191.05,191.61,180.42,185.35,6750341,0,207.55,184.63,196.09
11/11/2016,11:00,184.24,188.88,183.00,188.56,3988504,0,207.61,183.77,195.69
11/14/2016,11:00,188.00,188.25,178.19,181.45,6552205,0,208.49,181.63,195.06
11/15/2016,11:00,182.78,186.43,182.05,183.77,3902018,0,208.45,180.14,194.30
11/16/2016,11:00,182.65,184.73,181.21,183.93,3434437,0,207.48,179.15,193.32
11/17/2016,11:00,183.49,189.49,182.11,188.66,4887067,0,206.84,178.75,192.79
11/18/2016,11:00,190.65,193.00,185.00,185.02,5210347,0,206.06,178.02,192.04
11/21/2016,11:00,185.04,188.89,184.41,184.52,4361043,0,204.60,177.66,191.13
11/22/2016,11:00,185.84,191.47,183.71,191.17,5603361,0,203.02,178.12,190.57
11/23/2016,11:00,190.61,195.64,189.00,193.14,4891893,0,201.44,178.79,190.11
11/25/2016,11:00,194.39,197.24,193.64,196.65,2366098,0,199.63,179.86,189.75
11/28/2016,11:00,195.48,199.35,194.55,196.12,4529182,0,198.76,180.35,189.55
11/29/2016,11:00,195.56,196.73,189.50,189.57,4439256,0,197.56,180.73,189.15
11/30/2016,11:00,191.00,191.89,187.50,189.40,3547104,0,197.46,180.70,189.08
12/01/2016,11:00,188.50,188.53,181.00,181.88,5126401,0,197.71,179.83,188.77
12/02/2016,11:00,182.88,184.88,180.00,181.47,4042324,0,197.95,178.99,188.47
12/05/2016,11:00,182.51,188.89,182.51,186.80,4072239,0,197.74,178.83,188.28
12/06/2016,11:00,186.50,186.58,182.68,185.85,3391622,0,197.15,178.68,187.92
12/07/2016,11:00,186.15,193.40,185.00,193.15,5461851,0,196.82,178.84,187.83
12/08/2016,11:00,192.05,192.50,189.54,192.29,3194148,0,197.09,178.79,187.94
12/09/2016,11:00,190.87,193.84,190.81,192.18,2722505,0,197.53,179.03,188.28
12/12/2016,11:00,192.80,194.42,191.04,192.43,2438876,0,197.90,179.05,188.47
12/13/2016,11:00,193.18,201.28,193.00,198.15,6823884,0,199.05,179.57,189.31
12/14/2016,11:00,198.74,203.00,196.76,198.69,4150927,0,200.26,179.85,190.05
12/15/2016,11:00,198.41,200.74,197.39,197.58,3219567,0,201.04,180.43,190.74
12/16/2016,11:00,198.08,202.59,197.60,202.49,3796889,0,202.87,179.98,191.43
12/19/2016,11:00,202.49,204.45,199.84,202.73,3488071,0,204.36,180.26,192.31
12/20/2016,11:00,203.05,209.00,202.50,208.79,4689071,0,207.00,180.06,193.53
12/21/2016,11:00,208.45,212.23,207.41,207.70,5207622,0,209.11,179.60,194.35
12/22/2016,11:00,208.22,209.99,206.50,208.45,3111108,0,211.08,179.15,195.12
12/23/2016,11:00,208.00,213.45,207.71,213.34,4670464,0,213.79,178.12,195.95
12/27/2016,11:00,214.88,222.25,214.42,219.53,5915732,0,217.71,176.54,197.12
12/28/2016,11:00,221.53,223.80,217.20,219.74,3782456,0,221.12,176.15,198.63
12/29/2016,11:00,218.56,219.20,214.12,214.68,4044968,0,223.00,176.80,199.90
12/30/2016,11:00,216.30,217.50,211.68,213.69,4642620,0,223.77,179.20,201.49
01/03/2017,11:00,215.00,220.33,210.96,216.99,5923254,0,224.52,182.00,203.26
01/04/2017,11:00,214.75,228.00,214.31,226.99,11213471,0,227.50,183.04,205.27
01/05/2017,11:00,226.42,227.48,221.95,226.75,5911695,0,229.55,185.09,207.32
01/06/2017,11:00,226.93,230.31,225.45,229.01,5527893,0,232.25,185.97,209.11
01/09/2017,11:00,228.97,231.92,228.00,231.28,3979484,0,234.76,187.36,211.06
01/10/2017,11:00,232.00,232.00,226.89,229.87,3659955,0,236.34,189.55,212.94
01/11/2017,11:00,229.07,229.98,226.68,229.73,3650825,0,237.29,192.33,214.81
01/12/2017,11:00,229.06,230.70,225.58,229.59,3790229,0,238.38,194.39,216.38
01/13/2017,11:00,230.00,237.85,229.59,237.75,6092960,0,240.63,196.04,218.33
01/17/2017,11:00,236.70,239.96,234.37,235.58,4617522,0,241.59,198.88,220.23
01/18/2017,11:00,237.01,239.71,235.58,238.36,3768967,0,243.15,200.91,222.03
01/19/2017,11:00,247.25,248.68,240.75,243.76,7732303,0,245.27,202.89,224.08
01/20/2017,11:00,245.46,246.00,243.01,244.73,4204275,0,247.67,204.09,225.88
01/23/2017,11:00,245.85,250.89,245.50,248.92,6262938,0,250.25,205.62,227.94
01/24/2017,11:00,250.00,254.80,249.65,254.61,4965451,0,253.55,206.94,230.24
01/25/2017,11:00,257.31,258.46,251.80,254.47,5146361,0,256.51,208.09,232.30
01/26/2017,11:00,254.29,255.74,250.75,252.51,3152123,0,258.94,208.96,233.95
01/27/2017,11:00,251.38,253.00,248.52,252.95,3166336,0,261.01,210.21,235.61
01/30/2017,11:00,252.53,255.29,247.10,250.63,3801074,0,261.69,213.12,237.41
01/31/2017,11:00,249.24,255.89,247.70,251.93,4116104,0,261.79,216.85,239.32
02/01/2017,11:00,253.05,253.20,249.05,249.24,3958829,0,261.29,220.58,240.93
02/02/2017,11:00,248.34,252.42,247.71,251.55,2499775,0,261.96,222.36,242.16
02/03/2017,11:00,251.91,252.18,249.68,251.33,2186723,0,262.24,224.54,243.39
02/06/2017,11:00,251.00,257.82,250.63,257.77,3562517,0,263.46,226.20,244.83
02/07/2017,11:00,258.19,260.00,256.42,257.48,4244775,0,264.45,227.82,246.14
02/08/2017,11:00,257.35,263.36,256.20,262.08,3933014,0,265.72,229.78,247.75
02/09/2017,11:00,266.25,271.18,266.15,269.20,7820222,0,268.01,231.43,249.72
02/10/2017,11:00,269.79,270.95,266.11,269.23,3619739,0,269.42,233.99,251.70
02/13/2017,11:00,270.74,280.79,270.51,280.60,7029605,0,274.43,233.27,253.85
02/14/2017,11:00,279.03,287.39,278.61,280.98,7345224,0,278.10,234.13,256.12
02/15/2017,11:00,280.00,282.24,276.44,279.76,4947856,0,280.88,235.49,258.19
02/16/2017,11:00,277.60,280.00,268.50,268.95,7077322,0,281.59,237.31,259.45
02/17/2017,11:00,265.04,272.89,264.15,272.23,6257149,0,282.55,239.09,260.82
02/21/2017,11:00,275.45,281.40,274.01,277.39,5676747,0,284.39,240.10,262.24
02/22/2017,11:00,280.31,283.45,272.60,273.51,8754975,0,285.56,240.81,263.19
02/23/2017,11:00,264.00,264.66,255.56,255.99,14915249,0,285.53,241.00,263.27
02/24/2017,11:00,252.34,258.25,250.20,257.00,8171626,0,285.41,241.57,263.49
02/27/2017,11:00,248.17,248.36,242.01,246.23,11460810,0,285.90,240.41,263.15
02/28/2017,11:00,244.19,251.00,243.90,249.99,6078145,0,285.94,240.31,263.12
03/01/2017,11:00,254.18,254.85,249.11,250.02,4809488,0,286.04,240.01,263.03
03/02/2017,11:00,249.71,253.28,248.27,250.48,3351833,0,285.96,240.21,263.09
03/03/2017,11:00,250.74,251.90,249.00,251.57,2929234,0,285.96,240.22,263.09
03/06/2017,11:00,247.91,251.70,247.51,251.21,3355500,0,285.97,240.20,263.08
03/07/2017,11:00,251.92,253.89,248.32,248.59,3459470,0,286.27,238.98,262.62
03/08/2017,11:00,247.00,250.07,245.32,246.87,3728649,0,286.64,237.55,262.09
03/09/2017,11:00,247.63,248.66,243.00,244.90,3879293,0,286.90,235.57,261.23
03/10/2017,11:00,246.21,246.50,243.00,243.69,3066272,0,286.44,233.48,259.96
03/13/2017,11:00,244.82,246.85,242.78,246.17,3022625,0,285.57,232.04,258.81
